"Num_dep";"annee";"Effectif"
"43";"2019";"227570"
"43";"2018";"227552"
"43";"2017";"227283"
"43";"2016";"227339"
"44";"2021";"1462506"
"44";"2020";"1445171"
"44";"2019";"1429272"
"44";"2018";"1412502"
"44";"2017";"1394909"
"44";"2016";"1380852"
"45";"2021";"683940"
"45";"2020";"682304"
"45";"2019";"680434"
"45";"2018";"678845"
"45";"2017";"678105"
"45";"2016";"674330"
"46";"2021";"174907"
"46";"2020";"174670"
"46";"2019";"174094"
"46";"2018";"173929"
"46";"2017";"173828"
"46";"2016";"173347"
"47";"2021";"329989"
"47";"2020";"330844"
"47";"2019";"331271"
"47";"2018";"331970"
"47";"2017";"332842"
"47";"2016";"332833"
"48";"2021";"76593"
"48";"2020";"76633"
"48";"2019";"76604"
"48";"2018";"76520"
"48";"2017";"76601"
"48";"2016";"76422"
"49";"2021";"823052"
"49";"2020";"820713"
"49";"2019";"818273"
"49";"2018";"815883"
"49";"2017";"813493"
"49";"2016";"810934"
"50";"2021";"494474"
"50";"2020";"495093"
"50";"2019";"495045"
"50";"2018";"495983"
"50";"2017";"496883"
"50";"2016";"498362"
"51";"2021";"565685"
"51";"2020";"566659"
"51";"2019";"566855"
"51";"2018";"567462"
"51";"2017";"568895"
"51";"2016";"570883"
"52";"2021";"170280"
"52";"2020";"171798"
"52";"2019";"172512"
"52";"2018";"174069"
"52";"2017";"175640"
"52";"2016";"178084"
"53";"2021";"306043"
"53";"2020";"306538"
"53";"2019";"307062"
"53";"2018";"307084"
"53";"2017";"307445"
"53";"2016";"307688"
"54";"2021";"731390"
"54";"2020";"732590"
"54";"2019";"733760"
"54";"2018";"733469"
"54";"2017";"733481"
"54";"2016";"733821"
"55";"2021";"181165"
"55";"2020";"183001"
"55";"2019";"184083"
"55";"2018";"185355"
"55";"2017";"187187"
"55";"2016";"189055"
"56";"2021";"768617"
"56";"2020";"764161"
"56";"2019";"759684"
"56";"2018";"754867"
"56";"2017";"750863"
"56";"2016";"747548"
"57";"2021";"1049612"
"57";"2020";"1049155"
"57";"2019";"1046543"
"57";"2018";"1043524"
"57";"2017";"1043522"
"57";"2016";"1045271"
"58";"2021";"201017"
"58";"2020";"202670"
"58";"2019";"204452"
"58";"2018";"205828"
"58";"2017";"207182"
"58";"2016";"209161"
"59";"2021";"2607335"
"59";"2020";"2607746"
"59";"2019";"2608346"
"59";"2018";"2606234"
"59";"2017";"2604361"
"59";"2016";"2603723"
"60";"2021";"830560"
"60";"2020";"829699"
"60";"2019";"829419"
"60";"2018";"827153"
"60";"2017";"824503"
"60";"2016";"823542"
"61";"2021";"276600"
"61";"2020";"278475"
"61";"2019";"279942"
"61";"2018";"281593"
"61";"2017";"283372"
"61";"2016";"285308"
"62";"2021";"1459338"
"62";"2020";"1462167"
"62";"2019";"1465278"
"62";"2018";"1466743"
"62";"2017";"1468018"
"62";"2016";"1470725"
"63";"2021";"664189"
"63";"2020";"661852"
"63";"2019";"662152"
"63";"2018";"659048"
"63";"2017";"653742"
"63";"2016";"650700"
"64";"2021";"690920"
"64";"2020";"687240"
"64";"2019";"682621"
"64";"2018";"679810"
"64";"2017";"677309"
"64";"2016";"673986"
"65";"2021";"230143"
"65";"2020";"229788"
"65";"2019";"229567"
"65";"2018";"229191"
"65";"2017";"228530"
"65";"2016";"227829"
"66";"2021";"485651"
"66";"2020";"482765"
"66";"2019";"479979"
"66";"2018";"476357"
"66";"2017";"474452"
"66";"2016";"474369"
"67";"2021";"1154712"
"67";"2020";"1148073"
"67";"2019";"1140057"
"67";"2018";"1133552"
"67";"2017";"1125559"
"67";"2016";"1121407"
"68";"2021";"767636"
"68";"2020";"767842"
"68";"2019";"767086"
"68";"2018";"764981"
"68";"2017";"764030"
"68";"2016";"762743"
"69";"2021";"1895426"
"69";"2020";"1883437"
"69";"2019";"1875747"
"69";"2018";"1859524"
"69";"2017";"1843319"
"69";"2016";"1835903"
"70";"2021";"233493"
"70";"2020";"234601"
"70";"2019";"235313"
"70";"2018";"236018"
"70";"2017";"236659"
"70";"2016";"237242"
"71";"2021";"549467"
"71";"2020";"551063"
"71";"2019";"551493"
"71";"2018";"552185"
"71";"2017";"553595"
"71";"2016";"555023"
"72";"2021";"567068"
"72";"2020";"566993"
"72";"2019";"566412"
"72";"2018";"565963"
"72";"2017";"566506"
"72";"2016";"567561"
"73";"2021";"441899"
"73";"2020";"439750"
"73";"2019";"436434"
"73";"2018";"433724"
"73";"2017";"431174"
"73";"2016";"429681"
"74";"2021";"843675"
"74";"2020";"835206"
"74";"2019";"826094"
"74";"2018";"816699"
"74";"2017";"807360"
"74";"2016";"801416"
"75";"2021";"2131104"
"75";"2020";"2145906"
"75";"2019";"2165423"
"75";"2018";"2175601"
"75";"2017";"2187526"
"75";"2016";"2190327"
"76";"2021";"1254334"
"76";"2020";"1254739"
"76";"2019";"1255633"
"76";"2018";"1255883"
"76";"2017";"1254378"
"76";"2016";"1255755"
"77";"2021";"1436079"
"77";"2020";"1428636"
"77";"2019";"1421197"
"77";"2018";"1412516"
"77";"2017";"1403997"
"77";"2016";"1397665"
"78";"2021";"1452852"
"78";"2020";"1449723"
"78";"2019";"1448207"
"78";"2018";"1441398"
"78";"2017";"1438266"
"78";"2016";"1431808"
"79";"2021";"374428"
"79";"2020";"374481"
"79";"2019";"374878"
"79";"2018";"374799"
"79";"2017";"374351"
"79";"2016";"374743"
"80";"2021";"566872"
"80";"2020";"568748"
"80";"2019";"570559"
"80";"2018";"570662"
"80";"2017";"572443"
"80";"2016";"572744"
"81";"2021";"392328"
"81";"2020";"391066"
"81";"2019";"389844"
"81";"2018";"388596"
"81";"2017";"387890"
"81";"2016";"386448"
"82";"2021";"263504"
"82";"2020";"262316"
"82";"2019";"260669"
"82";"2018";"259124"
"82";"2017";"258349"
"82";"2016";"256897"
"83";"2021";"1094127"
"83";"2020";"1085189"
"83";"2019";"1076711"
"83";"2018";"1067697"
"83";"2017";"1058740"
"83";"2016";"1055821"
"84";"2021";"562700"
"84";"2020";"561941"
"84";"2019";"561469"
"84";"2018";"559793"
"84";"2017";"559479"
"84";"2016";"559014"
"85";"2021";"698570"
"85";"2020";"692705"
"85";"2019";"685442"
"85";"2018";"679991"
"85";"2017";"675247"
"85";"2016";"670597"
"86";"2021";"440161"
"86";"2020";"439332"
"86";"2019";"438435"
"86";"2018";"437586"
"86";"2017";"436876"
"86";"2016";"436069"
"87";"2021";"371487"
"87";"2020";"372123"
"87";"2019";"372359"
"87";"2018";"373199"
"87";"2017";"374426"
"87";"2016";"374978"
"88";"2021";"359915"
"88";"2020";"362397"
"88";"2019";"364499"
"88";"2018";"366112"
"88";"2017";"367673"
"88";"2016";"369641"
"89";"2021";"332620"
"89";"2020";"334156"
"89";"2019";"335707"
"89";"2018";"337504"
"89";"2017";"338291"
"89";"2016";"340544"
"90";"2021";"138976"
"90";"2020";"140120"
"90";"2019";"141318"
"90";"2018";"141852"
"90";"2017";"142622"
"90";"2016";"144089"
"91";"2021";"1308892"
"91";"2020";"1306118"
"91";"2019";"1301659"
"91";"2018";"1296641"
"91";"2017";"1296130"
"91";"2016";"1287330"
"92";"2021";"1631170"
"92";"2020";"1626213"
"92";"2019";"1624357"
"92";"2018";"1619120"
"92";"2017";"1609306"
"92";"2016";"1603268"
"93";"2021";"1664856"
"93";"2020";"1655422"
"93";"2019";"1644903"
"93";"2018";"1632677"
"93";"2017";"1623111"
"93";"2016";"1606660"
"94";"2021";"1413781"
"94";"2020";"1407972"
"94";"2019";"1407124"
"94";"2018";"1396913"
"94";"2017";"1387926"
"94";"2016";"1378151"
"95";"2021";"1258517"
"95";"2020";"1251804"
"95";"2019";"1249674"
"95";"2018";"1238581"
"95";"2017";"1228618"
"95";"2016";"1221923"
"971";"2021";"381606"
"971";"2020";"383559"
"971";"2019";"384239"
"971";"2018";"387629"
"971";"2017";"390253"
"971";"2016";"394110"
"972";"2021";"357191"
"972";"2020";"361225"
"972";"2019";"364508"
"972";"2018";"368783"
"972";"2017";"372594"
"972";"2016";"376480"
"973";"2021";"290714"
"973";"2020";"285133"
"973";"2019";"281678"
"973";"2018";"276128"
"973";"2017";"268700"
"973";"2016";"269352"
"974";"2021";"866669"
"974";"2020";"863083"
"974";"2019";"861210"
"974";"2018";"855961"
"974";"2017";"853659"
"974";"2016";"852924"
"976";"2021";"288725"
"976";"2020";"279696"
"976";"2019";"269579"
"976";"2018";"259621"
"976";"2017";"250143"
"976";"2016";"240987"
"";"2021";""
"";"2020";""
"";"2019";""
"";"2018";""
"";"2017";""
"";"2016";""
